"School","Date Reported","Student Cases","Staff Cases","Student Quarantines","Staff Quarantines","SchoolType"
"Bryan Station Middle","8/20/2021","1","0","1","0","Middle"
"Bryan Station Middle","8/24/2021","5","0","8","0","Middle"
"Bryan Station Middle","8/14/2021","1","0","3","0","Middle"
"Bryan Station Middle","8/1/2021","0","0","2","0","Middle"
"Bryan Station Middle","8/15/2021","1","0","0","0","Middle"
"Bryan Station Middle","8/23/2021","3","0","2","0","Middle"
"Bryan Station Middle","8/19/2021","2","0","28","0","Middle"
"Bryan Station Middle","8/2/2021","0","0","1","0","Middle"
"Bryan Station Middle","8/25/2021","2","1","89","0","Middle"
"Bryan Station Middle","8/9/2021","0","0","2","0","Middle"
"Bryan Station Middle","8/12/2021","2","0","5","0","Middle"
"Bryan Station Middle","8/5/2021","0","0","1","0","Middle"
"Bryan Station Middle","8/10/2021","0","0","3","0","Middle"
"Bryan Station Middle","8/22/2021","0","0","18","0","Middle"
"Bryan Station Middle","8/18/2021","1","0","13","0","Middle"
"Bryan Station Middle","8/13/2021","1","0","2","0","Middle"
"Bryan Station Middle","8/17/2021","1","0","1","0","Middle"
"Bryan Station Middle","8/16/2021","3","0","4","0","Middle"
"Cardinal Valley","8/24/2021","0","2","16","0","Other"
"Cardinal Valley","7/28/2021","0","0","3","0","Other"
"Cardinal Valley","8/25/2021","1","0","0","0","Other"
"Cardinal Valley","8/21/2021","0","0","3","0","Other"
"Cardinal Valley","7/31/2021","0","0","1","0","Other"
"Cardinal Valley","8/19/2021","0","1","0","0","Other"
"Cardinal Valley","8/17/2021","1","0","0","0","Other"
"Cardinal Valley","8/20/2021","0","1","14","0","Other"
"Cardinal Valley","8/18/2021","0","0","0","1","Other"
"Cardinal Valley","8/16/2021","0","0","0","1","Other"
"Cassidy","8/23/2021","0","0","2","0","Elementary"
"Cassidy","8/17/2021","0","0","1","0","Elementary"
"Cassidy","8/1/2021","0","0","1","0","Elementary"
"Cassidy","8/8/2021","0","0","2","0","Elementary"
"Cassidy","8/2/2021","0","0","1","0","Elementary"
"Cassidy","8/24/2021","1","1","2","0","Elementary"
"Cassidy","8/7/2021","1","0","0","0","Elementary"
"Cassidy","8/10/2021","1","0","3","0","Elementary"
"Cassidy","7/31/2021","0","0","2","0","Elementary"
"Cassidy","8/11/2021","0","0","1","0","Elementary"
"Cassidy","8/20/2021","0","0","1","0","Elementary"
"Cassidy","8/5/2021","1","0","1","0","Elementary"
"Cassidy","8/9/2021","2","0","5","0","Elementary"
"Cassidy","8/3/2021","0","0","4","0","Elementary"
"CG Woodson","8/21/2021","2","0","0","0","Other"
"CG Woodson","8/24/2021","0","0","1","0","Other"
"CG Woodson","8/19/2021","1","0","0","0","Other"
"CG Woodson","8/17/2021","0","0","2","0","Other"
"CG Woodson","8/23/2021","3","1","10","0","Other"
"CG Woodson","7/29/2021","1","0","0","0","Other"
"CG Woodson","8/3/2021","1","0","0","0","Other"
"CG Woodson","8/8/2021","0","0","1","0","Other"
"CG Woodson","8/25/2021","1","0","0","0","Other"
"CG Woodson","8/12/2021","0","0","3","0","Other"
"CG Woodson","8/4/2021","0","0","1","0","Other"
"CG Woodson","8/16/2021","1","0","7","0","Other"
"CG Woodson","8/22/2021","0","0","6","0","Other"
"CG Woodson","8/20/2021","3","0","10","0","Other"
"CG Woodson","8/10/2021","0","0","1","0","Other"
"CG Woodson","8/9/2021","1","0","0","0","Other"
"CG Woodson","8/15/2021","1","0","0","0","Other"
"CG Woodson","8/11/2021","0","0","1","0","Other"
"CG Woodson","8/13/2021","0","0","1","0","Other"
"CGW Prep","8/23/2021","1","0","0","0","Other"
"CGW Prep","8/13/2021","0","0","1","0","Other"
"CGW Prep","8/12/2021","1","0","0","0","Other"
"CGW Prep","8/1/2021","0","0","1","0","Other"
"CGW Prep","8/8/2021","1","0","1","0","Other"
"CGW Prep","8/20/2021","1","0","0","0","Other"
"CGW Prep","8/14/2021","0","0","2","0","Other"
"Clays Mill","8/24/2021","4","0","1","0","Elementary"
"Clays Mill","8/21/2021","1","0","30","0","Elementary"
"Clays Mill","8/9/2021","0","0","1","0","Elementary"
"Clays Mill","8/10/2021","0","0","2","0","Elementary"
"Clays Mill","8/17/2021","0","0","1","0","Elementary"
"Clays Mill","8/25/2021","6","0","38","0","Elementary"
"Clays Mill","8/23/2021","4","1","9","0","Elementary"
"Clays Mill","8/19/2021","0","0","17","0","Elementary"
"Clays Mill","8/16/2021","0","0","1","0","Elementary"
"Clays Mill","8/18/2021","1","0","7","0","Elementary"
"Clays Mill","8/20/2021","2","0","0","0","Elementary"
"Clays Mill","8/8/2021","2","0","0","0","Elementary"
"Clays Mill","8/4/2021","0","0","1","0","Elementary"
"Coventry Oak","8/21/2021","0","0","21","0","Elementary"
"Coventry Oak","8/17/2021","0","0","6","0","Elementary"
"Coventry Oak","8/19/2021","6","0","73","1","Elementary"
"Coventry Oak","8/24/2021","1","0","14","0","Elementary"
"Coventry Oak","8/15/2021","0","0","1","0","Elementary"
"Coventry Oak","8/16/2021","1","0","0","0","Elementary"
"Coventry Oak","7/31/2021","0","0","1","0","Elementary"
"Coventry Oak","8/25/2021","2","0","12","0","Elementary"
"Coventry Oak","8/23/2021","1","0","4","0","Elementary"
"Coventry Oak","8/2/2021","1","0","1","0","Elementary"
"Coventry Oak","8/4/2021","0","0","1","0","Elementary"
"Coventry Oak","8/10/2021","0","0","2","0","Elementary"
"Coventry Oak","8/20/2021","0","0","5","0","Elementary"
"Coventry Oak","8/18/2021","0","0","1","0","Elementary"
"Crawford","8/21/2021","1","1","20","0","Middle"
"Crawford","8/1/2021","1","0","0","0","Middle"
"Crawford","8/25/2021","0","1","22","0","Middle"
"Crawford","8/10/2021","0","1","1","0","Middle"
"Crawford","8/22/2021","0","0","10","0","Middle"
"Crawford","8/13/2021","2","0","1","0","Middle"
"Crawford","8/23/2021","4","0","12","0","Middle"
"Crawford","8/24/2021","2","1","2","0","Middle"
"Crawford","8/17/2021","1","0","2","0","Middle"
"Crawford","8/3/2021","0","0","1","0","Middle"
"Crawford","8/4/2021","1","2","0","0","Middle"
"Crawford","8/16/2021","0","0","1","0","Middle"
"Crawford","8/19/2021","2","0","26","0","Middle"
"Crawford","8/18/2021","4","0","12","0","Middle"
"Crawford","8/14/2021","0","0","27","0","Middle"
"Crawford","8/2/2021","0","0","2","0","Middle"
"Crawford","8/20/2021","1","0","39","0","Middle"
"Deep Springs","8/25/2021","4","0","17","0","Elementary"
"Deep Springs","8/22/2021","0","0","2","0","Elementary"
"Deep Springs","8/24/2021","1","2","3","0","Elementary"
"Deep Springs","8/9/2021","0","0","3","0","Elementary"
"Deep Springs","8/11/2021","0","0","1","0","Elementary"
"Deep Springs","8/18/2021","1","0","5","0","Elementary"
"Deep Springs","8/2/2021","0","1","0","0","Elementary"
"Deep Springs","8/20/2021","2","0","0","0","Elementary"
"Deep Springs","8/16/2021","0","1","1","0","Elementary"
"Deep Springs","8/4/2021","0","0","1","0","Elementary"
"Deep Springs","8/23/2021","7","0","67","0","Elementary"
"Deep Springs","8/17/2021","1","1","2","5","Elementary"
"Deep Springs","8/12/2021","0","0","3","0","Elementary"
"Deep Springs","8/19/2021","0","0","5","0","Elementary"
"District Departments","8/8/2021","0","2","0","0","Other"
"District Departments","7/31/2021","0","1","0","0","Other"
"District Departments","8/6/2021","0","2","0","6","Other"
"District Departments","8/19/2021","0","1","0","0","Other"
"District Departments","8/12/2021","0","0","2","0","Other"
"District Departments","8/3/2021","0","1","0","0","Other"
"District Departments","7/29/2021","0","1","0","0","Other"
"District Departments","8/15/2021","0","1","0","0","Other"
"District Departments","8/9/2021","0","3","0","0","Other"
"District Departments","8/23/2021","0","3","0","1","Other"
"District Departments","8/16/2021","0","1","0","0","Other"
"District Departments","8/5/2021","0","1","0","0","Other"
"Dixie","8/10/2021","1","0","2","1","Elementary"
"Dixie","8/18/2021","1","0","2","0","Elementary"
"Dixie","8/23/2021","0","1","0","0","Elementary"
